,Name Of Area,Pincode,Latitude ,Longitude
0,9 DRD B.O,411014,18.54851,73.90514
1,AFMC S.O,411040,18.49267,73.90352
2,Airport S.O (Pune),411032,18.57956,73.88954
3,Akurdi S.O,411035,18.76572,73.68905
4,Ammunition Factory Khadki S.O,411003,18.57295,73.86363
5,Bhosari I.E. S.O,411026,18.55284,73.95387
6,Bhosarigoan S.O,411039,18.55284,73.95387
7,Bibvewadi S.O,411037,18.48337,73.85561
8,C D A (O) S.O,411001,18.57571,73.81074
9,C M E S.O,411031,18.58289,73.8098
10,Chinchwad East S.O,411019,18.62815,73.8318
11,Chinchwadgaon S.O,411033,18.63172,73.73346
12,Dapodi Bazar S.O,411012,18.57995,73.82783
13,Dapodi S.O,411012,18.57749,73.83138
14,Dhanori B.O,411015,18.5844,73.88738
15,Dighi Camp S.O,411015,18.55284,73.95387
16,Dr.B.A. Chowk S.O,411001,18.52484,73.87657
17,Dukirkline S.O,411014,18.60055,73.9608
18,East Khadki S.O,411003,18.55499,73.86108
19,Ghorpuri Bazar S.O,411001,18.5259,73.89545
20,H.E. Factory S.O,411003,18.57295,73.86363
21,Hadapsar S.O,411028,18.50453,73.91255
22,Hadpsar I.E. S.O,411013,18.50453,73.91255
23,Iaf Station S.O,411032,18.55284,73.95387
24,Indrayaninagar S.O,411026,18.62923,73.83432
25,Kalewadi B.O,411017,18.61892,73.79878
26,Kasarwadi S.O,411034,18.60373,73.82221
27,Khadki Bazar S.O,411003,18.56312,73.84433
28,Khadki S.O,411003,18.56312,73.84433
29,Khondhwa KH B.O,411048,18.45756,73.89339
30,Kondhwa BK B.O,411048,18.48028,73.89847
31,Kondhwa Lh B.O,411048,18.48028,73.89847
32,Lohogaon S.O,411047,18.55284,73.95387
33,M.Phulenagar S.O,411019,28.5779,77.31541
34,Market Yard S.O (Pune),411037,18.48193,73.87425
35,Masulkar Colony S.O,411018,18.63374,73.8129
36,Mohamadwadi S.O,411060,18.47335,73.90957
37,Mundhva AV S.O,411036,18.53135,73.91478
38,Mundhva B.O,411036,18.53135,73.91478
39,N I B M S.O,411048,18.47298,73.89421
40,N.W. College S.O,411001,18.53446,73.88304
41,Nehrunagar S.O (Pune),411018,18.62728,73.8388
42,P.C.N.T. S.O,411044,18.6554,73.76124
43,Pimpri Colony S.O,411017,18.60755,73.78615
44,Pimpri P F S.O,411018,18.57571,73.81074
45,Pimpri Waghire S.O,411017,18.60132,73.78156
46,Punawale B.O,411033,18.63172,73.73346
47,Pune Cantt East S.O,411001,18.5364,73.89394
48,Pune H.O,411001,18.5358,73.891
49,Pune New Bazar S.O,411001,18.53446,73.88304
50,Rupeenagar S.O,412114,18.53325,73.89263
51,Sachapir Street S.O,411001,18.51141,73.87792
52,Salisbury Park S.O,411037,18.48591,73.86715
53,Sangavi S.O,411027,18.57422,73.81781
54,Sasanenagar S.O,411028,18.4747,73.93157
55,Srpf S.O,411022,18.50193,73.91264
56,T.V. Nagar S.O,411037,18.46135,73.86633
57,Talwade B.O,412114,18.5010606,73.5137584
58,Thathawade B.O,411033,18.63172,73.73346
59,Thergaon B.O,411033,18.63172,73.73346
60,Vadgaon Sheri S.O,411014,18.54282,73.92344
61,Vidyanagar S.O (Pune),411032,18.55284,73.95387
62,Vishrantwadi S.O,411015,18.60226,73.89806
63,Wakad B.O,411057,18.60557,73.76478
64,Wanowarie S.O,411040,18.49477,73.90127
65,Yamunanagar S.O,411044,18.60589,73.76143
66,Yerwada S.O,411006,18.56318,73.87742
67,Yerwada T.S. S.O,411006,18.54429,73.87986
68,A.R. Shala S.O,411004,18.51806,73.83615
69,Anandnagar S.O (Pune),411051,18.62981,73.84746
70,Armament S.O,411021,18.56068,73.7626
71,Aundh T.S. S.O,411007,18.55144,73.82197
72,Bajirao Road S.O,411002,18.50995,73.85375
73,Baner Road S.O,411007,18.55383,73.80216
74,Bhavani Peth S.O,411042,18.50697,73.87119
75,Bhusari Colony S.O,411038,18.50956,73.79646
76,Botanical Garden S.O (Pune),411003,18.56354,73.82588
77,Congress House Road S.O,411005,18.5282,73.84735
78,Deccan Gymkhana S.O,411004,18.51806,73.83615
79,Dhankawadi S.O,411043,18.46554,73.8487
80,Ex. Serviceman Colony S.O,411038,18.48029,73.79853
81,Film Institute S.O,411004,18.51806,73.83615
82,Ganeshkhind S.O,411007,18.55144,73.82197
83,Ghorpade Peth S.O,411042,18.50139,73.86309
84,Govt. Polytechnic S.O,411016,18.53048,73.83252
85,Guruwar Peth S.O,411042,18.50547,73.85951
86,Kapad Ganj S.O,411002,18.51378,73.86019
87,Karvenagar S.O,411052,18.49,73.82244
88,Kasba Peth S.O,411011,18.5242,73.8578
89,Katraj S.O,411046,18.45938,73.86667
90,Khadakwasla R.S. S.O,411024,18.45597,73.78478
91,Kothrud S.O,411038,18.50767,73.78967
92,Lokmanyanagar S.O,411030,18.50825,73.84405
93,Mangalwar Peth S.O (Pune),411011,18.5221,73.86273
94,Model Colony S.O,411016,18.52906,73.83811
95,N.C.L. Pune S.O,411008,18.53658,73.7989
96,N.D.A. Khadakwasla S.O,411023,18.44063,73.75898
97,N.I.A. S.O,411045,18.55284,73.95387
98,Nana Peth S.O,411002,18.51009,73.85672
99,Narayan Peth S.O,411030,18.51553,73.8523
100,Navsahyadri S.O,411052,18.49528,73.82775
101,Parvati Gaon S.O,411009,18.49631,73.85621
102,Parvati S.O,411009,18.49631,73.85621
103,Pune City H.O,411002,18.51377,73.85991
104,Range Hills S.O,411020,18.57462,73.82788
105,Rashtra Bhasha Bhavan S.O,411030,18.50942,73.84063
106,Rasta Peth S.O,411011,18.5242,73.8578
107,Raviwar Peth S.O,411002,18.51769,73.86014
108,S.P. College S.O,411030,18.5282,73.84735
